date,category,vaccination,units
27-11-2022,18+ Age 24hr Vaccination,"3,245",vaccination in absolute number
27-11-2022,18+ Age 2nd Dose,"86,48,59,122",vaccination in absolute number
27-11-2022,15-18 Age 1st Dose,"6,20,70,825",vaccination in absolute number
27-11-2022,15-18 Age 2nd Dose,"5,34,95,943",vaccination in absolute number
26-11-2022,18+ Age 1st Dose,"92,20,88,710",vaccination in absolute number
26-11-2022,18+ Age 24hr Vaccination,"3,556",vaccination in absolute number
26-11-2022,18+ Age 2nd Dose,"86,48,49,328",vaccination in absolute number
26-11-2022,15-18 Age 1st Dose,"6,20,69,427",vaccination in absolute number
26-11-2022,15-18 Age 2nd Dose,"5,34,90,420",vaccination in absolute number
25-11-2022,18+ Age 1st Dose,"92,20,85,154",vaccination in absolute number
25-11-2022,18+ Age 24hr Vaccination,"2,767",vaccination in absolute number
25-11-2022,18+ Age 2nd Dose,"86,48,36,838",vaccination in absolute number
25-11-2022,15-18 Age 1st Dose,"6,20,67,458",vaccination in absolute number
25-11-2022,15-18 Age 2nd Dose,"5,34,82,535",vaccination in absolute number
24-11-2022,18+ Age 1st Dose,"92,20,82,387",vaccination in absolute number
24-11-2022,18+ Age 24hr Vaccination,"3,665",vaccination in absolute number
24-11-2022,18+ Age 2nd Dose,"86,48,23,802",vaccination in absolute number
24-11-2022,15-18 Age 1st Dose,"6,20,64,998",vaccination in absolute number
24-11-2022,15-18 Age 2nd Dose,"5,34,75,748",vaccination in absolute number
23-11-2022,18+ Age 1st Dose,"92,20,78,722",vaccination in absolute number
23-11-2022,18+ Age 24hr Vaccination,"2,718",vaccination in absolute number
23-11-2022,18+ Age 2nd Dose,"86,48,08,971",vaccination in absolute number
23-11-2022,15-18 Age 1st Dose,"6,20,62,662",vaccination in absolute number
23-11-2022,15-18 Age 2nd Dose,"5,34,68,734",vaccination in absolute number
22-11-2022,18+ Age 1st Dose,"92,20,76,004",vaccination in absolute number
22-11-2022,18+ Age 24hr Vaccination,"3,331",vaccination in absolute number
22-11-2022,18+ Age 2nd Dose,"86,47,96,957",vaccination in absolute number
22-11-2022,15-18 Age 1st Dose,"6,20,57,846",vaccination in absolute number
